Year,State,CO2_Value,Coal_Value,Natural_Gas_Value,Nuclear_Energy_Value,Petroleum_Energy_Value,Renewable_Energy_Value
1970,Alabama,29.7,"675,603","307,750",0,"352,050","132,471"
1970,Alaska,37.3,"13,159","64,045",0,"95,999","8,835"
1970,Arizona,13.9,"8,623","204,383",0,"213,298","68,919"
1970,Arkansas,18.7,0,"383,478",0,"246,630","56,933"
1970,California,14.7,"61,812","2,241,295","34,375","2,502,535","521,978"
1970,Colorado,19.4,"115,688","274,987",0,"273,380","21,329"
1970,Connecticut,15.7,"48,577","61,543","39,567","558,983","19,293"
1970,Delaware,29.2,"37,238","26,949",0,"153,982","7,021"
1970,District of Columbia,18.0,"28,427","26,402",0,"129,410",113
1970,Florida,15.2,"116,720","350,626",0,"1,065,634","51,035"
1970,Georgia,16.0,"193,155","342,834",0,"553,586","98,222"
1970,Hawaii,18.0,0,0,0,"195,388","1,559"
1970,Idaho,14.3,"7,935","49,411",0,"105,159","85,735"
1970,Illinois,22.2,"920,303","1,203,225","27,600","1,487,160","41,064"
1970,Indiana,33.1,"1,006,824","548,640",0,"731,101","28,494"
1970,Iowa,18.9,"130,867","351,800",0,"346,563","16,080"
1970,Kansas,22.7,"10,701","574,542",0,"302,912","3,730"
1970,Kentucky,26.7,"527,054","252,265",0,"357,631","57,023"
1970,Louisiana,39.5,0,"1,894,224",0,"900,341","41,620"
1970,Maine,16.9,"2,166","1,315",0,"230,972","59,420"
1970,Maryland,18.8,"311,292","159,584",0,"528,914","51,782"
1970,Massachusetts,17.5,"21,393","149,074","13,272","1,240,487","65,043"
1970,Michigan,21.0,"828,881","821,261","4,113","955,898","54,309"
1970,Minnesota,18.2,"179,727","343,007",0,"512,466","32,822"
1970,Mississippi,17.4,"13,225","369,391",0,"272,674","33,527"
1970,Missouri,18.5,"279,245","432,532",0,"571,688","33,344"
1970,Montana,20.6,"12,023","90,601",0,"126,169","98,397"
1970,Nebraska,18.5,"29,716","224,114",0,"192,242","15,950"
1970,Nevada,21.9,"17,290","56,868",0,"90,440","18,322"
1970,New Hampshire,17.3,"27,149","6,796",0,"139,870","25,321"
1970,New Jersey,18.0,"123,291","331,247","37,917","1,439,875","25,906"
1970,New Mexico,34.2,"99,380","292,522",0,"155,743","5,548"
1970,New York,15.6,"598,940","725,813","46,908","2,647,016","325,491"
1970,North Carolina,19.1,"491,383","154,856",0,"618,277","111,796"
1970,North Dakota,23.8,"57,471","33,731",0,"115,352","29,922"
1970,Ohio,25.8,"1,571,427","1,077,151",0,"1,071,430","44,149"
1970,Oklahoma,21.6,154,"616,279",0,"365,166","21,730"
1970,Oregon,12.2,"3,047","99,572",0,"294,478","371,350"
1970,Pennsylvania,26.0,"1,698,980","797,877","5,102","1,528,940","67,525"
1970,Rhode Island,13.8,228,"25,620",0,"167,131","5,268"
1970,South Carolina,16.2,"140,118","164,305",76,"300,420","65,064"
1970,South Dakota,14.0,"5,674","36,464",0,"103,787","70,185"
