Year,CO2_Value,Coal_Value,Natural_Gas_Value,Nuclear_Energy_Value,Petroleum_Energy_Value,Renewable_Energy_Value
1970,21.733333333333334,240566.5294117647,425347.29411764705,4693.098039215686,578433.6078431372,79804.33333333333
1971,21.880392156862747,227513.74509803922,438534.2549019608,8096.843137254902,598852.0588235294,83572.74509803922
1972,22.99607843137255,237441.76470588235,444754.82352941175,11446.098039215687,645473.6470588235,85921.6862745098
1973,23.625490196078434,254119.98039215687,443045.96078431373,17846.62745098039,682471.1568627451,86489.03921568628
1974,22.750980392156862,248058.96078431373,426069.76470588235,24942.843137254902,655306.1568627451,92977.49019607843
1975,22.023529411764706,248149.3137254902,391707.39215686277,37250.94117647059,641152.5294117647,91904.33333333333
1976,23.35490196078431,266193.90196078434,399631.92156862747,41394.509803921566,689058.5490196078,92689.25490196078
1977,24.007843137254905,272688.45098039217,391617.23529411765,52975.686274509804,727110.6470588235,82528.80392156863
1978,23.898039215686275,269993.82352941175,393483.5882352941,59296.58823529412,743512.1764705882,98145.88235294117
1979,24.007843137254905,294934.3137254902,405639.56862745096,54428.01960784314,726975.3529411765,100448.09803921569
1980,22.888235294117646,303156.56862745096,396606.64705882355,53709.21568627451,669794.7647058824,106363.39215686274
1981,22.327450980392157,312504.4705882353,387247.49019607843,58972.313725490196,625178.0196078431,106218.70588235294
1982,21.701960784313723,299393.1176470588,360138.2745098039,61395.05882352941,591755.3137254902,117273.13725490196
1983,21.44705882352941,311118.82352941175,337490.56862745096,62795.05882352941,588180.9607843137,127364.98039215687
1984,22.676470588235293,333599.49019607843,360579.6862745098,69657.4705882353,607707.6274509804,126242.09803921569
1985,22.766666666666666,343922.90196078434,347324.23529411765,79913.01960784313,605240.8823529412,119294.41176470589
1986,22.59607843137255,338056.56862745096,325553.64705882355,85884.45098039215,630410.1176470588,119826.27450980392
1987,23.46470588235294,351958.3725490196,346015.54901960783,93214.37254901961,643497.725490196,110284.3137254902
1988,24.89411764705882,370307.07843137253,361966.2549019608,109548.37254901961,670070.7843137255,106995.2156862745
1989,25.007843137254905,373630.70588235295,384457.1568627451,109846.29411764706,669896.9215686275,122247.94117647059
1990,24.89411764705882,375836.98039215687,384858.862745098,119693.09803921569,656880.2941176471,118468.1568627451
1991,24.413725490196075,372336.0,392804.8823529412,125924.17647058824,642946.1176470588,118975.7843137255
1992,24.809803921568626,374858.862745098,406349.1568627451,127043.25490196078,656253.3921568628,114127.94117647059
1993,24.772549019607844,388943.6666666667,416771.7450980392,125696.17647058824,658656.9803921569,119202.74509803922
1994,24.94705882352941,390265.7450980392,426613.8431372549,131252.45098039217,675640.7647058824,117394.64705882352
1995,24.866666666666667,394094.98039215687,445502.3333333333,138734.03921568627,673442.9215686275,128614.41176470589
1996,25.36470588235294,411806.9411764706,453947.98039215687,138954.39215686274,697893.4509803922,137497.1568627451
1997,25.370588235294118,420462.7450980392,458280.9411764706,129352.76470588235,707240.4117647059,137482.3137254902
1998,25.57450980392157,423202.49019607843,449246.1568627451,138584.45098039217,720080.5098039216,127279.90196078431
1999,25.68607843137255,423178.49019607843,449514.862745098,149220.78431372548,739938.2156862745,127738.41176470589
2000,26.16254901960784,442657.5882352941,466966.5882352941,154163.66666666666,748170.2156862745,119690.35294117648
2001,25.600392156862746,429536.3725490196,446032.2156862745,157428.50980392157,746816.3137254902,101259.80392156863
2002,25.49019607843137,429467.7450980392,461049.862745098,159714.3137254902,747493.0,112275.0
2003,25.719607843137254,437698.7254901961,447501.2549019608,156071.01960784313,759087.3725490196,116550.11764705883
2004,25.860784313725492,440476.50980392157,449554.5294117647,161230.8431372549,787222.8431372549,119109.76470588235
2005,25.866666666666667,446930.3333333333,442492.76470588235,160015.88235294117,788770.1176470588,122192.62745098039
2006,25.272549019607844,440082.54901960783,435790.5882352941,161071.11764705883,779280.9607843137,130129.35294117648
2007,25.45686274509804,446037.54901960783,464133.70588235295,165854.60784313726,772230.9215686275,127896.50980392157
2008,24.50392156862745,438878.7843137255,467377.82352941175,165225.27450980392,721404.1568627451,140667.80392156861
2009,22.64509803921569,386104.7843137255,459235.39215686277,163827.9019607843,681953.4705882353,149166.03921568627
2010,23.154901960784315,408399.60784313723,481726.23529411765,165381.0,692569.0392156863,162070.23529411765
2011,22.59607843137255,385565.8431372549,489289.64705882355,162131.3725490196,679210.1960784313,180581.3137254902
2012,21.717647058823527,340802.45098039217,511288.01960784313,158074.9411764706,663399.5098039216,173586.19607843139
2013,21.923529411764704,353701.45098039217,525269.9019607843,161655.54901960783,674478.6470588235,185573.88235294117
2014,21.937254901960785,352874.0,536800.7058823529,163481.54901960783,679573.4509803922,191363.29411764705
2015,21.182352941176468,304882.0,552542.8235294118,163468.39215686274,693499.0588235294,191124.41176470587
2016,20.58235294117647,278963.54901960783,556721.3333333334,165230.39215686274,700242.0980392157,204042.27450980392
2017,20.449019607843137,271365.2745098039,550135.1176470588,165077.82352941178,706741.7843137255,218337.6862745098
2018,20.994117647058825,259803.11764705883,611044.0784313725,165452.3137254902,723378.1372549019,222877.70588235295
2019,20.294117647058822,221861.29411764705,632081.9215686275,165722.58823529413,722886.9803921569,224785.3137254902
2020,18.319607843137256,180052.88235294117,618863.3529411765,161785.76470588235,633989.9803921569,225762.3137254902
2021,19.354901960784314,206818.9411764706,620704.274509804,159391.25490196078,691215.274509804,237840.6274509804
